GOslim	count
other metabolic processes	4929
protein metabolism	3727
transport	3277
cell organization and biogenesis	2994
signal transduction	2990
developmental processes	2961
RNA metabolism	2452
stress response	1985
cell cycle and proliferation	1477
death	1428
cell adhesion	1069
DNA metabolism	666
cell-cell signaling	478
